"parent","level","name","lng","lat","people_count_2010","adcode"
"甘肃省","city","张掖市","100.455472","38.932897","1199515","620700"
"陕西省","city","延安市","109.49081","36.596537","2187009","610600"
"广东省","city","河源市","114.697802","23.746266","2950195","441600"
"广西壮族自治区","city","南宁市","108.320004","22.82402","6705437","450100"
"广东省","city","东莞市","113.746262","23.046237","8200000","441900"
"广东省","city","云浮市","112.044439","22.929801","2367154","445300"
"广西壮族自治区","city","��海市","109.119254","21.473343","1539251","450500"
"山东省","city","菏泽市","115.469381","35.246531","8271368","371700"
"广东省","city","佛山市","113.122717","23.028762","7242689","440600"
"吉林省","city","白山市","126.427839","41.942505","1660850","220600"
"福建省","city","龙岩市","117.02978","25.091603","5419351","350800"
"广西壮族自治区","city","钦州市","108.624175","21.967127","3127047","450700"
"海南省","city","乐东黎族自治县","109.175444","18.74758","467161","469027"
"西藏自治区","city","山南地区","91.766529","29.236023","364463","542200"
"河北省","city","衡水市","115.665993","37.735097","39774686","131100"
"四川省","city","宜宾市","104.630825","28.760189","4471896","511500"
"河北省","city","保定市","115.482331","38.867657","11496109","130600"
"天津市","city","天津市市辖区","117.190182","39.125596","13450226","120100"
"天津市","city","天津市郊县","117.824898","39.330613","1847910","120200"
"湖北省","city","神农架林区","110.671525","31.744449","76140","429021"
"西藏自治区","city","那曲地区","92.060214","31.476004","462381","542400"
"甘肃省","city","甘南藏族自治州","102.911008","34.986354","689132","623000"
"甘肃省","city","庆阳市","107.638372","35.734218","2211191","621000"
"湖南省","city","邵阳市","111.46923","27.237842","7076343","430500"
"河北省","city","秦皇岛市","119.586579","39.942531","3722351","130300"
"河北省","city","张家口市","114.884091","40.811901","3718213","130700"
"新疆维吾尔自治区","city","博尔塔拉蒙古自治州","82.074778","44.903258","443680","652700"
"新疆维吾尔自治区","city","喀什地区","75.989138","39.467664","4017164","653100"
"新疆维吾尔自治区","city","阿克苏地区","80.265068","41.170712","2896379","652900"
"新疆维吾尔自治区","city","和田地区","79.92533","37.110687","4480430","653200"
"新疆维吾尔自治区","city","五家渠市","87.526884","44.167401","96436","659004"
"新疆维吾尔自治区","city","可克达拉市","80.63579","43.6832","770886","659008"
"新疆维吾尔自治区","city","昌吉回族自治州","87.304012","44.014577","1731864","652300"
"湖南省","city","株洲市","113.151737","27.835806","3857100","430200"
"河南省","city","许昌市","113.826063","34.022956","4275430","411000"
"四川省","city","甘孜藏族自治州","101.963815","30.050663","5665663","513300"
"吉林省","city","长春市","125.3245","43.886841","6886682","220100"
"安徽省","city","蚌埠市","117.363228","32.939667","3136401","340300"
"内蒙古自治区","city","乌兰察布市","113.114543","41.034126","2293073","150900"
"海南省","city","昌江黎族自治县","109.053351","19.260968","256931","469026"
"辽宁省","city","盘锦市","122.06957","41.124484","1392493","211100"
"陕西省","city","安康市","109.029273","32.6903","2629906","610900"
"青海省","city","海西蒙古族藏族自治州","97.370785","37.374663","536460","632800"
"北京市","city","北京市市辖区","116.405285","39.904989","18934592","110100"
"新疆维吾尔自治区","city","图木舒克市","79.077978","39.867316","135727","659003"
